character	initial	final	tone	roman	ascii	pretty	no-emc-data
吐	tx	ov	1	txovˊ	txov1	txóv	
吐	d	rn	3	drnˈ	drn3	drt	
向	x	ơg	2	xơgˉ	xeog2	xơg	
吒	ṭ	a	2	ṭaˉ	tja2	ṭa	
吒	ṭx	ag	3	ṭxagˈ	txjag3	ṭxak	
吒	ṭ	a	0	ṭaˋ	tja0	ṭà	
吓	x	a	1	xaˊ	xa1	xá	!
吓	h	a	1	haˊ	ha1	há	!
吔	qj	a	0	qjaˋ	qja0	qjà	!
吔	qj	a	1	qjaˊ	qja1	qjá	!
吔	j	a	0	jaˋ	ja0	jà	!
吔	qj	ag	3	qjagˈ	qjag3	qjak	!
吔	j	e	1	jeˊ	je1	jé	!
吕	l	y	1	lyˊ	ly1	lý	
吖	q	a	0	qaˋ	qa0	qà	!
吖	q	a	2	qaˉ	qa2	qa	!
吘	g	rv	1	grvˊ	grv1	gŕv	!
吙	x	ơ	0	xơˋ	xeo0	xờ	!
吚	q	i	0	qiˋ	qi0	qì	!
君	kv	rn	0	kvrnˋ	kvrn0	kvr̀n	
吜	ṭx	rv	1	ṭxrvˊ	txjrv1	ṭxŕv	!
吝	l	on	2	lonˉ	lon2	lon	
吞	tx	rn	0	txrnˋ	txrn0	txr̀n	
吟	gj	rm	0	gjrmˋ	gjrm0	gjr̀m	
吟	g	rm	0	grmˋ	grm0	gr̀m	
吠	w	rj	2	wrjˉ	wrj2	wrj	
吡	px	i	1	pxiˊ	pxi1	pxí	
吡	p	i	1	piˊ	pi1	pí	
吢	ṭx	rm	2	ṭxrmˉ	txjrm2	ṭxrm	!
吣	ŧx	rm	2	ŧxrmˉ	tsxrm2	ŧxrm	
吤	k	aj	2	kajˉ	kaj2	kaj	!
吥	p	rn	3	prnˈ	prn3	prt	!
否	f	rv	1	frvˊ	frv1	fŕv	
否	px	i	1	pxiˊ	pxi1	pxí	
吧	b	a	2	baˉ	ba2	ba	
吧	p	a	0	paˋ	pa0	pà	
吩	f	rn	0	frnˋ	frn0	fr̀n	!
吪	g	o	0	goˋ	go0	gò	
吪	w	a	0	waˋ	wa0	wà	
含	h	om	0	homˋ	hom0	hòm	
听	gj	rn	1	gjrnˊ	gjrn1	gjŕn	
吭	h	og	0	hogˋ	hog0	hòg	
吭	x	rg	0	xrgˋ	xrg0	xr̀g	
吮	z	yn	1	zynˊ	zyn1	zýn	
吰	hv	rg	0	hvrgˋ	hvrg0	hvr̀g	
吱	ṭ	i	0	ṭiˋ	tji0	ṭì	
吱	k	i	0	kiˋ	ki0	kì	
吲	j	rn	1	jrnˊ	jrn1	jŕn	!
吳	g		0	gˋ	g0	g̀	
吴	g		0	gˋ	g0	g̀	!
吵	ṭx	av	1	ṭxavˊ	txjav1	ṭxáv	
吶	n	am	3	namˈ	nam3	nap	!
吶	n	on	3	nonˈ	non3	not	!
吶	n	rn	3	nrnˈ	nrn3	nrt	!
吶	qn	a	2	qnaˉ	qna2	qna	!
吶	qn	e	0	qneˋ	qne0	qnè	!
吷	x	yn	3	xynˈ	xyn3	xyt	
吸	kx	rm	3	kxrmˈ	kxrm3	kxrp	
吹	ṭx	uj	0	ṭxujˋ	txjuj0	ṭxùj	
吹	ṭx	uj	2	ṭxujˉ	txjuj2	ṭxuj	
吺	t	rv	0	trvˋ	trv0	tr̀v	
吻	m	rn	1	mrnˊ	mrn1	mŕn	
吼	x	rv	2	xrvˉ	xrv2	xrv	
吼	x	av	0	xavˋ	xav0	xàv	
吼	x	rv	0	xrvˋ	xrv0	xr̀v	
吽	g	rv	0	grvˋ	grv0	gr̀v	
吽	x	rv	0	xrvˋ	xrv0	xr̀v	
吽	x	rv	2	xrvˉ	xrv2	xrv	
吽	x	rv	1	xrvˊ	xrv1	xŕv	
吽	x	ug	0	xugˋ	xug0	xùg	
吽	g	rv	2	grvˉ	grv2	grv	
吾	g		0	gˋ	g0	g̀	
吿	k	ov	2	kovˉ	kov2	kov	!
吿	k	ug	3	kugˈ	kug3	kuk	!
呀	qg	a	0	qgaˋ	qga0	qgà	
呀	qg	a	2	qgaˉ	qga2	qga	
呁	kv	rn	2	kvrnˉ	kvrn2	kvrn	
呂	l	ơj	1	lơjˊ	leoj1	lớj	!
呃	q	rg	3	qrgˈ	qrg3	qrk	
呃	q	ag	3	qagˈ	qag3	qak	
呃	q	aj	2	qajˉ	qaj2	qaj	
呄	k	rg	3	krgˈ	krg3	krk	!
呅	m	uj	0	mujˋ	muj0	mùj	!
呆	g	oj	0	gojˋ	goj0	gòj	!
呆	t	aj	0	tajˋ	taj0	tàj	!
呇	kx	rj	1	kxrjˊ	kxrj1	kxŕj	!
呈	ḍ	ig	0	ḍigˋ	djig0	ḍìg	
呉	g		0	gˋ	g0	g̀	!
告	k	ov	2	kovˉ	kov2	kov	
告	k	ug	3	kugˈ	kug3	kuk	
呋	f	u	0	fuˋ	fu0	fù	!
呌	k	iv	2	kivˉ	kiv2	kiv	!
呍	g	rv	0	grvˋ	grv0	gr̀v	!
呎	ṭx	eg	3	ṭxegˈ	txjeg3	ṭxek	!
呎	q	ig	0	qigˋ	qig0	qìg	!
呏	ṣ	ig	0	ṣigˋ	sjig0	ṣìg	!
呐	n	am	3	namˈ	nam3	nap	
呐	n	on	3	nonˈ	non3	not	
呐	n	rn	3	nrnˈ	nrn3	nrt	
呐	qn	a	2	qnaˉ	qna2	qna	
呐	qn	e	0	qneˋ	qne0	qnè	
呑	tx	rn	0	txrnˋ	txrn0	txr̀n	!
呔	tx	aj	0	txajˋ	txaj0	txàj	!
呔	tx	oj	1	txojˊ	txoj1	txój	!
呚	m	uj	0	mujˋ	muj0	mùj	!
呝	q	rg	3	qrgˈ	qrg3	qrk	
呝	q	ag	3	qagˈ	qag3	qak	
呞	ṣ	i	0	ṣiˋ	sji0	ṣì	
呞	ṭx	i	0	ṭxiˋ	txji0	ṭxì	
呟	k	yn	1	kynˊ	kyn1	kýn	!
呠	px	rn	2	pxrnˉ	pxrn2	pxrn	!
呡	m	rn	1	mrnˊ	mrn1	mŕn	!
呢	n	i	0	niˋ	ni0	nì	
呢	n	rj	0	nrjˋ	nrj0	nr̀j	
呢	qn	e	0	qneˋ	qne0	qnè	
呢	qn	i	0	qniˋ	qni0	qnì	
呢	qn	i	0	qniˋ	qni0	qnì	
呣	qm		1	qmˊ	qm1	qm	
呣	m		2	mˉ	m2	m	
呤	l	ig	0	ligˋ	lig0	lìg	
呤	l	ig	2	ligˉ	lig2	lig	
呥	ṇ	im	0	ṇimˋ	njim0	ṇìm	
呥	qṇ	rm	0	qṇrmˋ	qnjrm0	qṇr̀m	
呦	qj	rv	0	qjrvˋ	qjrv0	qjr̀v	
呧	t	rj	1	trjˊ	trj1	tŕj	!
周	ṭ	rv	0	ṭrvˋ	tjrv0	ṭr̀v	
呩	ṣ	i	2	ṣiˉ	sji2	ṣi	!
呪	ṭ	rv	2	ṭrvˉ	tjrv2	ṭrv	
呫	tx	im	3	tximˈ	txim3	txip	
呫	ṭx	im	3	ṭximˈ	txjim3	ṭxip	
呬	x	i	2	xiˉ	xi2	xi	
呭	j	rj	2	jrjˉ	jrj2	jrj	
呮	c	ej	0	cejˋ	cej0	cèj	!
呯	b	ig	0	bigˋ	big0	bìg	!
呰	ŧ	i	1	ŧiˊ	tsi1	ŧí	
呱	k	u	0	kuˋ	ku0	kù	
呱	kv	a	0	kvaˋ	kva0	kvà	
呲	ṭ	i	0	ṭiˋ	tji0	ṭì	!
呲	ṭx	i	0	ṭxiˋ	txji0	ṭxì	!
味	m	i	2	miˉ	mi2	mi	
味	qm	i	0	qmiˋ	qmi0	qmì	
味	qm	i	1	qmiˊ	qmi1	qmí	
呴	x	y	2	xyˉ	xy2	xy	
呴	x	y	1	xyˊ	xy1	xý	
呴	x	y	0	xyˋ	xy0	xỳ	
呴	x	rv	2	xrvˉ	xrv2	xrv	
呴	x	rv	0	xrvˋ	xrv0	xr̀v	
呵	x	o	0	xoˋ	xo0	xò	
呵	q	a	2	qaˉ	qa2	qa	
呵	x	o	1	xoˊ	xo1	xó	
呶	n	av	0	navˋ	nav0	nàv	
呷	x	am	3	xamˈ	xam3	xap	
呷	k	an	3	kanˈ	kan3	kat	
呸	px	ej	0	pxejˋ	pxej0	pxèj	!
呹	j	rn	3	jrnˈ	jrn3	jrt	!
呹	ṭx	ig	3	ṭxigˈ	txjig3	ṭxik	!
呺	x	iv	0	xivˋ	xiv0	xìv	
呺	h	ov	0	hovˋ	hov0	hòv	
呻	ṣ	rn	0	ṣrnˋ	sjrn0	ṣr̀n	
呼	xv	u	0	xvuˋ	xvu0	xvù	
命	m	ig	2	migˉ	mig2	mig	
命	qm	eg	1	qmegˊ	qmeg1	qmég	
命	m	eg	2	megˉ	meg2	meg	
呾	t	an	3	tanˈ	tan3	tat	
呿	kx	y	0	kxyˋ	kxy0	kxỳ	
咀	ŧ	y	1	ŧyˊ	tsy1	ŧý	
咁	k	rm	1	krmˊ	krm1	kŕm	!
咁	k	rm	2	krmˉ	krm2	krm	!
咂	ṭ	am	3	ṭamˈ	tjam3	ṭap	!
咃	tx	o	0	txoˋ	txo0	txò	!
咄	t	on	3	tonˈ	ton3	tot	
咄	ṭ	yn	3	ṭynˈ	tjyn3	ṭyt	
咄	ṭx	yn	3	ṭxynˈ	txjyn3	ṭxyt	
咄	t	yn	3	tynˈ	tyn3	tyt	
咅	tx	rv	2	txrvˉ	txrv2	txrv	
咆	b	av	0	bavˋ	bav0	bàv	
咇	b	in	3	binˈ	bin3	bit	
咇	b	rn	3	brnˈ	brn3	brt	
咇	p	in	3	pinˈ	pin3	pit	
咈	w	rn	3	wrnˈ	wrn3	wrt	
咉	qj	og	0	qjogˋ	qjog0	qjòg	
咊	hv	o	0	hvoˋ	hvo0	hvò	
咊	hv	o	2	hvoˉ	hvo2	hvo	
咊	h	u	0	huˋ	hu0	hù	
咊	kv	o	2	kvoˉ	kvo2	kvo	
咋	ṭ	a	2	ṭaˉ	tja2	ṭa	
咋	ṭ	a	1	ṭaˊ	tja1	ṭá	
咋	ṭ	ag	3	ṭagˈ	tjag3	ṭak	
咋	ṭ	a	0	ṭaˋ	tja0	ṭà	
和	hv	o	0	hvoˋ	hvo0	hvò	
和	qv	o	0	qvoˋ	qvo0	qvò	
和	hv	o	2	hvoˉ	hvo2	hvo	
和	h	u	0	huˋ	hu0	hù	
和	kv	o	2	kvoˉ	kvo2	kvo	
咍	x	oj	0	xojˋ	xoj0	xòj	
咎	k	rv	2	krvˉ	krv2	krv	
咎	k	ov	0	kovˋ	kov0	kòv	
咏	v	ig	2	vigˉ	vig2	vig	
咐	f	u	2	fuˉ	fu2	fu	!
咐	w	u	2	wuˉ	wu2	wu	!
咑	t	a	0	taˋ	ta0	tà	!
咒	ṭ	rv	2	ṭrvˉ	tjrv2	ṭrv	!
咓		a	1	aˊ	a1	á	!
咔	kx	a	0	kxaˋ	kxa0	kxà	!
咔	c	a	0	caˋ	ca0	cà	!
咕	k	u	0	kuˋ	ku0	kù	!
咖	k	a	2	kaˉ	ka2	ka	!
咖	kx	a	0	kxaˋ	kxa0	kxà	!
咗	ṭ	o	1	ṭoˊ	tjo1	ṭó	!
咘	p	ov	2	povˉ	pov2	pov	!
咚	t	ug	0	tugˋ	tug0	tùg	!
咜	tx	a	0	txaˋ	txa0	txà	!
咞		in	2	inˉ	in2	in	!
咟	qv	ag	3	qvagˈ	qvag3	qvak	
咠	ŧx	rm	3	ŧxrmˈ	tsxrm3	ŧxrp	
咡	ṇ	i	2	ṇiˉ	nji2	ṇi	
咢	g	og	3	gogˈ	gog3	gok	
咣	kv	og	0	kvogˋ	kvog0	kvòg	!
咤	ṭ	a	2	ṭaˉ	tja2	ṭa	
咤	ṭx	ag	3	ṭxagˈ	txjag3	ṭxak	
咤	ṭx	a	2	ṭxaˉ	txja2	ṭxa	
咥	x	ej	2	xejˉ	xej2	xej	
咥	d	in	3	dinˈ	din3	dit	
咦		i	0	iˋ	i0	ì	
咦	q	i	1	qiˊ	qi1	qí	
咦	x	i	0	xiˋ	xi0	xì	
咧	ql	e	1	qleˊ	qle1	qlé	!
咧	l	in	3	linˈ	lin3	lit	!
咧	ql	e	0	qleˋ	qle0	qlè	!
咧	ql	e	2	qleˉ	qle2	qle	!
咨	ŧ	i	0	ŧiˋ	tsi0	ŧì	
咩	qm	e	0	qmeˋ	qme0	qmè	!
咪	qm	rj	0	qmrjˋ	qmrj0	qmr̀j	!
咪	qm	ej	0	qmejˋ	qmej0	qmèj	!
咪	qm	i	0	qmiˋ	qmi0	qmì	!
咪	m	rj	1	mrjˊ	mrj1	mŕj	!
咪	m	rj	2	mrjˉ	mrj2	mrj	!
咪	m	i	0	miˋ	mi0	mì	!
咫	ṭ	i	1	ṭiˊ	tji1	ṭí	
咬	g	av	1	gavˊ	gav1	gáv	
咬	k	av	0	kavˋ	kav0	kàv	
咭	k	rn	3	krnˈ	krn3	krt	
咭	kx	rn	3	kxrnˈ	kxrn3	kxrt	
咭	kx	an	3	kxanˈ	kxan3	kxat	
咮	ṭ	rv	2	ṭrvˉ	tjrv2	ṭrv	
咯	k	og	3	kogˈ	kog3	kok	!
咯	k	og	3	kogˈ	kog3	kok	!
咯	kx	ag	3	kxagˈ	kxag3	kxak	!
咯	x	ag	3	xagˈ	xag3	xak	!
咯	ql	og	3	qlogˈ	qlog3	qlok	!
咯	ql	o	0	qloˋ	qlo0	qlò	!
咯	ql	o	2	qloˉ	qlo2	qlo	!
咯	l	og	3	logˈ	log3	lok	!
咰	ṣ	on	3	ṣonˈ	sjon3	ṣot	
咱	ṭ	a	0	ṭaˋ	tja0	ṭà	!
咲	ṣ	iv	2	ṣivˉ	sjiv2	ṣiv	!
咳	kx	rn	3	kxrnˈ	kxrn3	kxrt	
咳	x	aj	0	xajˋ	xaj0	xàj	
咳	h	aj	0	hajˋ	haj0	hàj	
咳	h	oj	0	hojˋ	hoj0	hòj	
咳	kx	oj	2	kxojˉ	kxoj2	kxoj	
咴	f	uj	0	fujˋ	fuj0	fùj	!
咵	kxv	a	1	kxvaˊ	kxva1	kxvá	!
咵	kxv	a	0	kxvaˋ	kxva0	kxvà	!
咶	hv	an	3	hvanˈ	hvan3	hvat	
咷	d	ov	0	dovˋ	dov0	dòv	
咸	h	am	0	hamˋ	ham0	hàm	
咹	x	on	0	xonˋ	xon0	xòn	
咺	x	yn	1	xynˊ	xyn1	xýn	
咺	x	yn	0	xynˋ	xyn0	xỳn	
咻	qj	rv	0	qjrvˋ	qjrv0	qjr̀v	
咻	x	y	1	xyˊ	xy1	xý	
咼	qv	a	0	qvaˋ	qva0	qvà	
咼	kv	o	0	kvoˋ	kvo0	kvò	
咽	q	in	0	qinˋ	qin0	qìn	
咽	q	in	2	qinˉ	qin2	qin	
咽	q	in	3	qinˈ	qin3	qit	
咾	l	ov	1	lovˊ	lov1	lóv	!
咿	q	i	0	qiˋ	qi0	qì	
哀	q	oj	0	qojˋ	qoj0	qòj	
品	p	rn	1	prnˊ	prn1	pŕn	
哂	ṭx	rn	1	ṭxrnˊ	txjrn1	ṭxŕn	
哂	ṣ	aj	2	ṣajˉ	sjaj2	ṣaj	
哃	d	ug	0	dugˋ	dug0	dùg	
哄	x	ug	0	xugˋ	xug0	xùg	
哄	x	ug	2	xugˉ	xug2	xug	
哄	h	ug	2	hugˉ	hug2	hug	
哅	x	ug	0	xugˋ	xug0	xùg	!
哆	t	o	0	toˋ	to0	tò	
哆	ṭx	i	1	ṭxiˊ	txji1	ṭxí	
哆	ṭx	e	1	ṭxeˊ	txje1	ṭxé	
哇	qv	a	0	qvaˋ	qva0	qvà	
哈	x	a	0	xaˋ	xa0	xà	
哉	ŧ	oj	0	ŧojˋ	tsoj0	ŧòj	
哊	j	ug	3	jugˈ	jug3	juk	
哋	d	ej	2	dejˉ	dej2	dej	!
哋	t	ej	1	tejˊ	tej1	téj	!
哋	dh	i	0	dhiˋ	dhi0	dhì	!
哌	px	aj	2	pxajˉ	pxaj2	pxaj	!
哎	q	aj	0	qajˋ	qaj0	qàj	!
哎	q	rj	2	qrjˉ	qrj2	qrj	!
哏	x	rn	1	xrnˊ	xrn1	xŕn	!
哏	k	rn	0	krnˋ	krn0	kr̀n	!
哐	x	og	0	xogˋ	xog0	xòg	!
哖	n	in	0	ninˋ	nin0	nìn	!
哘	h	rg	0	hrgˋ	hrg0	hr̀g	!
哚	t	ơ	1	tơˊ	teo1	tớ	!
哚	t	o	1	toˊ	to1	tó	!
哛	f	rn	0	frnˋ	frn0	fr̀n	!
哞	qm	rv	0	qmrvˋ	qmrv0	qmr̀v	!
哞	m	rv	0	mrvˋ	mrv0	mr̀v	!
哠	h	ov	2	hovˉ	hov2	hov	!
員		yn	0	ynˋ	yn0	ỳn	
員	q	yn	1	qynˊ	qyn1	qýn	
員	v	rn	2	vrnˉ	vrn2	vrn	
員	v	rn	0	vrnˋ	vrn0	vr̀n	
哢	l	ug	2	lugˉ	lug2	lug	
哣	d	rv	2	drvˉ	drv2	drv	!
哤	m	og	0	mogˋ	mog0	mòg	
哥	k	o	0	koˋ	ko0	kò	
哥	ch	o	0	choˋ	cho0	chò	
哦	g	o	0	goˋ	go0	gò	
哦	g	o	0	goˋ	go0	gò	
哦	qg	o	1	qgoˊ	qgo1	qgó	
哦	g	o	2	goˉ	go2	go	
哧	ṭx	i	0	ṭxiˋ	txji0	ṭxì	!
哧	ṭx	ig	3	ṭxigˈ	txjig3	ṭxik	!
哨	s	av	2	savˉ	sav2	sav	
哨	s	av	1	savˊ	sav1	sáv	
哩	ql	i	0	qliˋ	qli0	qlì	!
哩	ql	e	0	qleˋ	qle0	qlè	!
哩	l	ej	1	lejˊ	lej1	léj	!
哩	q	ig	0	qigˋ	qig0	qìg	!
哪	n	a	1	naˊ	na1	ná	!
哪	qn	a	0	qnaˋ	qna0	qnà	!
哪	n	a	0	naˋ	na0	nà	!
哫	ŧ	ug	3	ŧugˈ	tsug3	ŧuk	
哬	h	o	0	hoˋ	ho0	hò	!
哭	x	ug	3	xugˈ	xug3	xuk	
哮	x	av	0	xavˋ	xav0	xàv	
哯	h	in	2	hinˉ	hin2	hin	
哰	l	ov	0	lovˋ	lov0	lòv	
哱	b	un	3	bunˈ	bun3	but	
哱	p	un	3	punˈ	pun3	put	
哲	ṭ	in	3	ṭinˈ	tjin3	ṭit	
哳	ṭ	an	3	ṭanˈ	tjan3	ṭat	
哴	l	ơg	2	lơgˉ	leog2	lơg	
哴	l	og	0	logˋ	log0	lòg	
哵	p	an	3	panˈ	pan3	pat	
哶	qm	e	0	qmeˋ	qme0	qmè	!
哷	ql	yn	3	qlynˈ	qlyn3	qlyt	
哸	ṭx	ơj	0	ṭxơjˋ	txjeoj0	ṭxờj	!
哹	w	rv	0	wrvˋ	wrv0	wr̀v	
哺	b	ov	2	bovˉ	bov2	bov	
哻	h	on	0	honˋ	hon0	hòn	!
哼	x	rg	0	xrgˋ	xrg0	xr̀g	!
哼	hng		2	hngˉ	hng2	hng	!
哽	k	rg	1	krgˊ	krg1	kŕg	
哽	q	rg	1	qrgˊ	qrg1	qŕg	
哾	ṣ	yn	3	ṣynˈ	sjyn3	ṣyt	!
哿	k	o	1	koˊ	ko1	kó	
哿	k	o	0	koˋ	ko0	kò	
哿	x	o	1	xoˊ	xo1	xó	
唀	j	rv	1	jrvˊ	jrv1	jŕv	!
唁	g	in	2	ginˉ	gin2	gin	
唁	qg	in	2	qginˉ	qgin2	qgin	
唂	k	ug	3	kugˈ	kug3	kuk	
唃	k	ug	3	kugˈ	kug3	kuk	!
唄	b	aj	2	bajˉ	baj2	baj	
唄	b	e	2	beˉ	be2	be	
唄	b	uj	2	bujˉ	buj2	buj	
唅	h	om	0	homˋ	hom0	hòm	
唅	x	om	2	xomˉ	xom2	xom	
唆	s	o	0	soˋ	so0	sò	
唇	ẓ	on	0	ẓonˋ	zjon0	ẓòn	
唈	qj	om	3	qjomˈ	qjom3	qjop	
唉	q	aj	0	qajˋ	qaj0	qàj	
唉		aj	2	ajˉ	aj2	aj	
唉	q	aj	2	qajˉ	qaj2	qaj	
唊	k	am	3	kamˈ	kam3	kap	
唋	tx	ov	0	txovˋ	txov0	txòv	!
唌		in	0	inˋ	in0	ìn	
唍	v	an	1	vanˊ	van1	ván	!
唎	ql	i	0	qliˋ	qli0	qlì	!
唏	x	i	0	xiˋ	xi0	xì	
唐	d	og	0	dogˋ	dog0	dòg	
唐	tx	og	1	txogˊ	txog1	txóg	
唑	ḍ	o	2	ḍoˉ	djo2	ḍo	!
唒	ḍ	rv	0	ḍrvˋ	djrv0	ḍr̀v	!
唓	ṭx	e	0	ṭxeˋ	txje0	ṭxè	!
唔	m		0	mˋ	m0	m̀	!
唔	g		0	gˋ	g0	g̀	!
唕	ḍ	ov	2	ḍovˉ	djov2	ḍov	!
唖	q	a	1	qaˊ	qa1	qá	!
唗	t	rv	0	trvˋ	trv0	tr̀v	!
唘	kx	rj	1	kxrjˊ	kxrj1	kxŕj	!
唙	d	ig	3	digˈ	dig3	dik	!
唙	t	ig	3	tigˈ	tig3	tik	!
唚	ṭx	rm	2	ṭxrmˉ	txjrm2	ṭxrm	!
唜	m	un	3	munˈ	mun3	mut	!
唞	tx	rv	1	txrvˊ	txrv1	txŕv	!
唟	x	ơj	2	xơjˉ	xeoj2	xơj	!
唣	ḍ	ov	2	ḍovˉ	djov2	ḍov	!
唤		un	2	unˉ	un2	un	!
唥	l	ag	2	lagˉ	lag2	lag	!
唥	l	ag	0	lagˋ	lag0	làg	!
唥	ql	ag	0	qlagˋ	qlag0	qlàg	!
唦	ṣ	a	0	ṣaˋ	sja0	ṣà	!
唧	ŧ	ig	3	ŧigˈ	tsig3	ŧik	
唧	ŧ	in	3	ŧinˈ	tsin3	ŧit	
唧	ŧ	eg	3	ŧegˈ	tseg3	ŧek	
唨	ṭ	o	1	ṭoˊ	tjo1	ṭó	!
唩	qv	o	0	qvoˋ	qvo0	qvò	!
唪	f	ug	1	fugˊ	fug1	fúg	
唪	p	ug	1	pugˊ	pug1	púg	
唪	b	ag	2	bagˉ	bag2	bag	
唫	gj	rm	0	gjrmˋ	gjrm0	gjr̀m	
唫	g	rm	0	grmˋ	grm0	gr̀m	
唫	k	rm	2	krmˉ	krm2	krm	
唬	xv	u	1	xvuˊ	xvu1	xvú	
唬	x	ag	3	xagˈ	xag3	xak	
唬	x	av	0	xavˋ	xav0	xàv	
唭	kx	i	2	kxiˉ	kxi2	kxi	
售	ẓ	rv	2	ẓrvˉ	zjrv2	ẓrv	
唯	v	i	0	viˋ	vi0	vì	
唯	qv	i	1	qviˊ	qvi1	qví	
唰	ṭx	an	3	ṭxanˈ	txjan3	ṭxat	!
唱	ṭx	ơg	2	ṭxơgˉ	txjeog2	ṭxơg	
唲	ṇ	i	0	ṇiˋ	nji0	ṇì	
唲	qv	a	0	qvaˋ	qva0	qvà	
唳	l	uj	2	lujˉ	luj2	luj	
唴	c	ơg	2	cơgˉ	ceog2	cơg	
唵	q	om	1	qomˊ	qom1	qóm	
唶	ŧ	e	2	ŧeˉ	tse2	ŧe	
唶	ŧ	ag	3	ŧagˈ	tsag3	ŧak	
唷	qj	o	0	qjoˋ	qjo0	qjò	!
唸	n	im	2	nimˉ	nim2	nim	
唸	d	in	2	dinˉ	din2	din	
唹	q	y	0	qyˋ	qy0	qỳ	
唺	tx	in	1	txinˊ	txin1	txín	!
唻	l	oj	2	lojˉ	loj2	loj	
唼	ṣ	am	3	ṣamˈ	sjam3	ṣap	!
唼	ṭ	am	3	ṭamˈ	tjam3	ṭap	!
唼	ḍ	in	3	ḍinˈ	djin3	ḍit	!
唼	ṭx	im	3	ṭximˈ	txjim3	ṭxip	!
唼	d	im	3	dimˈ	dim3	dip	!
唽	ṣ	ig	3	ṣigˈ	sjig3	ṣik	!
唾	tx	o	2	txoˉ	txo2	txo	
唾	tx	ơ	2	txơˉ	txeo2	txơ	
唾	d	ơ	1	dơˊ	deo1	dớ	
唿	f	rn	3	frnˈ	frn3	frt	!
啀	g	aj	0	gajˋ	gaj0	gàj	
啁	ṭ	rv	0	ṭrvˋ	tjrv0	ṭr̀v	
啁	ṭ	av	0	ṭavˋ	tjav0	ṭàv	
啂	n	rv	1	nrvˊ	nrv1	nŕv	
啃	x	rg	1	xrgˊ	xrg1	xŕg	!
啄	t	ơg	3	tơgˈ	teog3	tơk	
啄	t	ơg	0	tơgˋ	teog0	tờg	
啄	ṭ	rv	2	ṭrvˉ	tjrv2	ṭrv	
啅	t	ơg	3	tơgˈ	teog3	tơk	
商	ṣ	ơg	0	ṣơgˋ	sjeog0	ṣờg	
啇	t	ig	3	tigˈ	tig3	tik	
啈	x	rg	0	xrgˋ	xrg0	xr̀g	!
啈	hng		2	hngˉ	hng2	hng	!
啉	l	am	0	lamˋ	lam0	làm	
啉	l	om	0	lomˋ	lom0	lòm	
啉	ql	om	0	qlomˋ	qlom0	qlòm	
啊	q	a	0	qaˋ	qa0	qà	!
啊	q	a	1	qaˊ	qa1	qá	!
啊		a	2	aˉ	a2	a	!
啊	q	a	2	qaˉ	qa2	qa	!
啊		a	0	aˋ	a0	à	!
啋	ṭx	oj	0	ṭxojˋ	txjoj0	ṭxòj	!
啌	x	og	0	xogˋ	xog0	xòg	
啍	tx	on	0	txonˋ	txon0	txòn	
啎	g		1	gˊ	g1	ǵ	
問	m	rn	2	mrnˉ	mrn2	mrn	
啐	ŧx	uj	2	ŧxujˉ	tsxuj2	ŧxuj	
啐	z	uj	2	zujˉ	zuj2	zuj	
啑	ṣ	am	3	ṣamˈ	sjam3	ṣap	
啑	ṭ	am	3	ṭamˈ	tjam3	ṭap	
啑	ḍ	in	3	ḍinˈ	djin3	ḍit	
啑	ṭx	im	3	ṭximˈ	txjim3	ṭxip	
啑	d	im	3	dimˈ	dim3	dip	
啒	kv	rn	3	kvrnˈ	kvrn3	kvrt	
啓	kx	rj	1	kxrjˊ	kxrj1	kxŕj	
啔	kx	rj	1	kxrjˊ	kxrj1	kxŕj	!
啕	d	ov	0	dovˋ	dov0	dòv	
啖	d	am	2	damˉ	dam2	dam	
啗	d	am	2	damˉ	dam2	dam	
啘	qv	a	0	qvaˋ	qva0	qvà	!
啙	ŧ	i	1	ŧiˊ	tsi1	ŧí	
啚	px	i	1	pxiˊ	pxi1	pxí	
啚	d	ov	0	dovˋ	dov0	dòv	
啛	ṭx	ơj	2	ṭxơjˉ	txjeoj2	ṭxơj	!
啜	ṭ	yn	3	ṭynˈ	tjyn3	ṭyt	
啜	ṭ	yn	3	ṭynˈ	tjyn3	ṭyt	
啜	ṭx	uj	2	ṭxujˉ	txjuj2	ṭxuj	
啝	qv	o	2	qvoˉ	qvo2	qvo	!
啝	v	o	0	voˋ	vo0	vò	!
啞	q	a	1	qaˊ	qa1	qá	
啞	q	a	0	qaˋ	qa0	qà	
啞	q	rg	3	qrgˈ	qrg3	qrk	
啟	kx	rj	1	kxrjˊ	kxrj1	kxŕj	!
啠	ṭ	in	3	ṭinˈ	tjin3	ṭit	!
啡	fx	e	0	fxeˋ	fxe0	fxè	
啡	fx	ej	0	fxejˋ	fxej0	fxèj	
啡	px	ej	0	pxejˋ	pxej0	pxèj	
啢	ql	ơg	1	qlơgˊ	qleog1	qlớg	!
啢	q	ig	0	qigˋ	qig0	qìg	!
啣	h	am	0	hamˋ	ham0	hàm	!
啣	h	rm	0	hrmˋ	hrm0	hr̀m	!
啤	p	e	0	peˋ	pe0	pè	!
啤	p	i	0	piˋ	pi0	pì	!
啤	bh	i	0	bhiˋ	bhi0	bhì	!
啤	px	e	0	pxeˋ	pxe0	pxè	!
啥	ṣ	a	1	ṣaˊ	sja1	ṣá	!
啦	ql	a	0	qlaˋ	qla0	qlà	!
