character	initial	final	tone	mc
堪	ꝁ	om	0	ꝁom0
堫	ţ	ug	0	ţug0,ṯrug0
堬		y	0	jyo0
堭	hv	og	0	xuag0
堮	g	og	3	gak
堯	g	iv	0	geu0
堰	q	in	1	qian1,qian2,qjen2
報	p	ov	2	pau2
堲	ţ	ig	3	ţit,ţik,ḑik
堳	m	ej	0	
場	dj	wg	0	driag0
場	ŧj	wg	1	driag0
堵	t	ov	1	to1,ţja1
堵	tj	e	1	to1,ţja1
堶	d	o	0	dua0
堷	qj	rm	2	
堸	bhv	ug	0	biug0
堹	tj	ug	2	tryug2
堺	k	aj	2	
堻	ţ	on	0	
堼	h	rg	2	
堽	k	og	0	
堾	ṯ	on	0	
堾	ṯ	on	1	
堾	ṯ	yn	1	
堿	k	an	1	
堿	h	am	0	
堿	x	rm	2	
塀	b	ig	0	
塂	h	og	0	
塃	pv	og	0	
塄	l	ig	0	
塅	d	yn	2	
塇	s	yn	0	
塈	x	i	2	ţii2,xioi2
塈	ꝁ	i	2	ţii2,xioi2
塈	k	i	2	ţii2,xioi2
塉	ḑ	ig	3	ḑiek
塊	ꝁv	aj	2	ꝁuai2
塋		ig	0	jyeg0
塌	ŧ	am	3	
塌	t	rm	3	
塍	zj	ig	0	zjig0
塎	j	ug	1	jyug1
塏	ꝁ	oj	1	ꝁai1
塐	s	ov	2	so2
塑	s	ov	2	so2
塑	s	og	3	so2
塒	zj	i	0	ḑji0
塓	m	ig	3	mek
塔	ŧ	am	3	ŧap
塕	qj	ug	1	qug1
塖	zj	ig	0	zjig0
塗	d	ov	0	do0,dra0
塘	d	og	0	dag0
塙	ꝁ	og	3	ꝁruk
塚	ŧj	ug	1	tryug1
塛	l	on	3	lit
塜	b	ug	2	
塝	b	og	2	
塞	s	rg	3	sai2,sok
塞	ṯ	oj	2	sai2,sok
塟	ţ	og	2	
塠	t	uj	0	tuai0
塡	d	in	0	trin0,den0,trin2,den2
塢	qv	u	1	qo1
塢	q	ov	2	qo1
塣	ḑ	ig	2	
塤	x	yn	0	xyan0
塤	xv	rn	0	xyan0
塥	k	ag	3	
塦	ḑ	rn	2	
塧	q	aj	2	
塨	k	ug	0	
塪	x	rm	1	
填	d	in	0	
塬		yn	0	
塭	qv	rn	0	
塮	ḑ	e	2	
塯	l	rv	2	liu2
塰	x	oj	1	
塱	l	og	1	
塲	dj	wg	0	sjag0
塳	b	ug	2	
塳	ꝑ	ug	0	
塴	b	rg	2	
塴	p	rg	0	
塵	dj	rn	0	drin0
塶	l	ug	3	
塷	l	ov	1	
塸	q	rv	1	qu1
塹	ṯ	im	2	ṯiem2
塺	m	uj	0	muai0,mua2
塺	m	o	2	muai0,mua2
塻	m	og	3	mak
塼	ţ	yn	0	
塽	sj	og	1	sriag1
塾	zj	ug	3	ḑjuk
塿	l	rv	1	lu1
塿	l	rv	0	lu1
墀	dj	i	0	drii0
墁	m	an	2	muan0,muan2
墂	p	iv	0	
境	k	ig	1	kieg1
墄	ṯ	rg	3	ṯok
墅	zj	wj	2	ḑjo1
墅	zj	wj	1	ḑjo1
墆	d	in	3	de2,det
墆	t	rj	2	de2,det
墇	tj	wg	2	ţjag0,ţjag2
墈	x	rm	2	
墉	j	ug	0	jyug0
墊	t	im	2	tem2,dep
墊	t	in	2	tem2,dep
墊	tj	in	2	tem2,dep
墊	tj	in	1	tem2,dep
墊	t	in	1	tem2,dep
墊	d	in	2	tem2,dep
墊	d	im	3	tem2,dep
墋	ŧj	rm	1	ṯrim1
墌	tj	eg	3	ţjek
墍	x	ej	2	
墍	ꝁ	ej	2	
墍	k	ej	2	
墎	kv	og	3	
墏	ṯ	wg	1	
墐	c	rn	2	ţin0,ţin2
墐	k	rn	1	ţin0,ţin2
墑	t	ig	3	
墒	s	wg	0	
墓	m	ov	2	mo2
墔	ḑ	wj	0	
墕	q	in	1	
墖	ŧ	am	3	
墘	c	in	0	
墚	l	wg	0	
墛	qv	i	2	
墜	dj	uj	2	dryi2
墝	ꝁ	av	0	ꝁrau0
增	ţ	rg	0	ţog0,ţog2
增	ḑ	rg	0	ţog0,ţog2
墟	ꝁ	wj	0	ꝁio0
墠	zj	in	2	ḑjen1
墡	zj	in	2	ḑjen1
墢	b	an	3	
墣	ꝑ	og	3	ꝑuk,ꝑruk
墤	ꝁv	aj	2	duai0,ꝁruai2
墥	t	ug	1	
墦	bhv	an	0	byan0
墧	ꝁ	og	3	
墨	m	rg	3	mok
墩	t	on	0	tuon0
墩	t	rn	0	tuon0
墩	t	rn	1	tuon0
墪	t	on	0	
墪	t	rn	0	
墪	t	rn	1	
墫	t	on	0	ṯyn0
墫	ţ	on	0	ṯyn0
墫	ḑ	yn	0	ṯyn0
墬	d	i	2	dii2
墬	d	eg	2	dii2
墭	zj	ig	2	ḑjeg2
墮	d	o	2	xjye0,dua1,ŧua1
墮	xv	i	0	xjye0,dua1,ŧua1
墯	d	o	2	
墯	pv	i	0	
墰	d	am	0	
墱	t	rg	2	
墲	m	ov	0	myo0,mo0,ꝑo0
墳	bhv	rn	0	byon0,byon1
墴	v	og	0	
墵	d	am	0	
墶	t	an	3	
墶	d	an	3	
墷		im	3	
墸	ţ	y	2	
墹	k	an	0	
墺	q	ov	2	qau2,qiuk
墻	ḑ	wg	0	ḑiag0
墼	k	ig	3	kek
墽	ꝁ	iv	0	ꝁeu0
墾	ꝁ	rn	1	ꝁon1
墿		ig	3	jek
壀	b	ej	0	
壁	p	ig	3	pek
壁	p	eg	3	pek
壁	p	ig	3	pek
壂	d	in	2	den2
壃	k	wg	0	kiag0
壄	j	e	1	ja1
壅	qj	ug	0	qyug0,qyug1
壅	qj	ug	1	qyug0,qyug1
壅	q	ug	0	qyug0,qyug1
壆	p	og	3	
壇	d	an	0	dan0
壈	l	om	1	lom1
壉	c	y	2	
壋	t	og	2	
壋	t	og	1	
壍	ṯ	im	2	ṯiem2
壎	x	yn	0	xyan0
壎	xv	rn	0	xyan0
壏	h	am	1	xram1
壐	s	aj	1	sie1
壑	ꝁ	og	3	xak
壒	q	oj	1	qad0
壓	q	an	3	qrap
壔	t	ov	1	tau1
壕	h	ov	0	xau0
壖		yn	0	
壗	ḑ	on	2	zin2
壘	l	uj	1	lyi1
壘	l	uj	2	lyi1
壘	l	uj	0	lyi1
壘	l	on	3	lyi1
壙	ꝁv	og	2	ꝁuag2
壚	l	ov	0	lo0
壛		im	0	jem0
壛	zj	im	0	jem0
壛	j	rm	0	jem0
壜	d	am	0	dom0
壝	v	i	0	jyi0,jyi1
壝	v	i	1	jyi0,jyi1
壞	hv	aj	2	kruai2,xruai2
壞	xv	aj	1	kruai2,xruai2
壟	l	ug	1	
壠	l	ug	1	lyug1
壡	j	oj	2	
壢	l	eg	3	
壢	l	ig	3	
壣	l	on	0	lin0
壤	nj	wg	2	njag1
壥	ḑ	in	0	
壦	x	yn	0	
壧	g	am	0	
壨	l	wj	0	
壩	p	a	2	
壪	qv	an	0	
士	zj	i	2	ḑri1
士	sj	i	1	ḑri1
壬	nj	rm	0	njim0
壭	z	i	2	
壯	tj	og	2	ţriag2
壯	tj	og	0	ţriag2
壴	tj	y	2	tryo2
壵	ţ	og	2	
壷		u	0	
壹	qj	rn	3	qjit
壹	q	ig	3	qjit
壺	hv	u	0	xo0
壺	qv	u	1	xo0
壻	s	rj	2	se2
壼	ꝁv	rn	1	ꝁuon1
壽	zj	rv	2	ḑju1,ḑju2
壾	m	og	1	mag1
壿	ḑ	yn	0	
夀	z	rv	2	
夁	qj	rn	3	
夂	tj	i	1	trii1
夂	tj	ug	0	trii1
夃	k	u	1	ko1
夅	k	og	2	xrug0
夆	pv	ug	0	byug0,xad0
夈	ţ	aj	0	
夊	s	uj	0	ṯrye0,syi0
夋	ṯ	on	0	ṯyn0
夌	l	ig	0	lig0
夎	ţ	o	2	ţuai2,ţua2
夏	h	a	2	xra1,xra2
夏	k	a	1	xra1,xra2
夐	x	yn	2	xuen2
夑	s	in	3	
夒	n	av	0	
夒	n	ov	0	
夓	h	a	2	
夔	cv	i	0	ţyi0
夕	ḑ	ig	3	ziek
外	g	oj	2	guad0
夗	q	yn	2	qyan1
夗	q	yn	1	qyan1
夘	m	av	1	ţe1
夙	s	ug	3	siuk
多	t	o	0	ta0
夛	t	o	0	
夜	j	e	2	ja2
夝	ḑ	ig	0	ḑieg0
夝	ḑ	eg	0	ḑieg0
夞	g	oj	2	
够	k	rv	2	
夠	k	rv	2	ꝁu0,ku0
夡	ꝁ	i	2	ꝁjii2
夢	m	ug	2	miug0,miug2
夢	m	ug	0	miug0,miug2
夣	m	ug	2	
夤	j	rn	0	jin0
夥	pv	o	1	xrue1,xua1
夦	ṯ	rm	1	
大	d	aj	2	dad0,da2
大	t	aj	0	dad0,da2
大	t	aj	1	dad0,da2
大	ŧ	aj	2	dad0,da2
夨	tj	rg	3	let,ţrik
天	ŧ	in	0	ŧen0
太	ŧ	aj	2	ŧad0
太	ŧ	aj	1	ŧad0
夫	pv	u	0	byo0,pyo0
夫	bhv	u	0	byo0,pyo0
夬	kv	aj	2	kruad0
夬	ꝁ	yn	3	kruad0
夭	q	iv	0	qieu0,qieu1,qau1
夭	q	iv	1	qieu0,qieu1,qau1
央	q	wg	0	qiag0
夯	x	ag	0	
夯	b	rn	2	
夰	k	ov	1	xau1,kau1
失	sj	rn	3	sjit
失	j	rn	3	sjit
夲	ŧ	ov	0	ŧau0
夳	ŧ	aj	2	
夵		im	1	jem1
夶	p	ej	1	
夷		i	0	jii0
夸	ꝁv	a	0	ꝁrua0
夻	g		0	
夼	ꝁv	og	2	
夽	gv	rn	1	gyon1
夾	k	am	3	krep
夾	c	im	3	krep
夾	k	rm	3	krep
夾	k	ag	3	krep
夾	x	im	3	krep
夿	p	a	0	
奀	qg	rn	0	
奂		un	2	
奃	t	rj	0	te0
奄	q	im	1	qiem1
奄	q	im	0	qiem1
奅	ꝑ	av	2	ꝑrau2
奆	c	yn	2	
奇	c	i	0	ţie0,kie0
奇	k	i	0	ţie0,kie0
奈	n	oj	2	nad0,na2
奉	bv	ug	2	byug1
奉	pv	ug	1	byug1
奊	ꝁ	in	3	xet
奊	cv	i	0	xet
奊	h	rj	1	xet
奌	t	im	1	
奍	x	yn	2	
奎	ꝁv	uj	0	ꝁue0
奎	ꝁv	i	0	ꝁue0
奏	ţ	rv	2	ţu2
奏	ṯ	rv	2	ţu2
奐		un	2	xuan2
契	ꝁ	rj	2	ꝁe2,ꝁiot,ꝁet
契	ꝁ	in	3	ꝁe2,ꝁiot,ꝁet
契	sj	in	3	ꝁe2,ꝁiot,ꝁet
奒	ꝁ	oj	0	ꝁai0
奓	tj	a	2	tra0,tra2
奓	dj	a	2	tra0,tra2
奓	ŧj	e	0	tra0,tra2
奓	sj	e	0	tra0,tra2
奓	ŧj	i	1	tra0,tra2
奓	tj	a	0	tra0,tra2
奔	p	rn	0	puon0,puon2
奔	p	rn	2	puon0,puon2
奕		ig	3	jek
套	ŧ	ov	2	
套	ŧ	ov	1	
奘	ḑ	og	2	ḑag1,ḑag2
奘	ḑh	og	1	ḑag1,ḑag2
奘	ţ	og	0	ḑag1,ḑag2
奙	p	un	1	
奚	h	rj	0	xe0
奛	ꝁ	og	2	
奜	ꝑv	i	1	ꝑyoi1
奝	t	iv	0	teu0
奞	s	on	2	syi0,sieu0,sin2,syn2
奟	p	rg	0	
奠	d	in	2	den2,teg2
奡	g	ov	2	gau2
奢	ŧj	e	0	sja0
奢	sj	e	0	sja0
奣	qv	rg	1	qruag1
奤	h	a	1	ꝑak
奦	m	ov	2	
奧	q	ov	2	
奧	qj	ug	3	
奧	q	ov	1	
奩	l	im	0	
奪	d	yn	3	duat
奫	qv	rn	0	qyn0
奬	ţ	wg	1	
奭	sj	ig	3	sjek
奮	bhv	rn	1	pyon2
奯	ꝁ	un	3	xuat
奰	b	i	2	bii2
奰	p	rj	2	bii2
奱	l	yn	0	
奲	t	o	1	ṯja1
奲	ŧj	e	1	ṯja1
女	n	wj	1	nrio1,nrio2
女	n	wj	0	nrio1,nrio2
女	n	wj	2	nrio1,nrio2
女		y	1	nrio1,nrio2
奴	n	ov	0	no0
奵	t	ig	1	teg1
奶	n	aj	1	
奶	n	aj	0	
奷	ṯ	in	0	
奸	k	an	0	kan0
她	ŧ	a	0	
奺	k	rv	1	
奻	n	yn	0	nruan0,nruan2
奼	ŧj	a	2	ŧra1,to2,tra2
好	x	ov	1	xau1,xau2
好	x	ov	2	xau1,xau2
奾	s	in	0	
奿	pv	an	2	
妀	k	i	1	ki1
妁	tj	wg	3	ţjak,ḑjak
如	nj	y	0	njo0,njo2
妃	ꝑv	i	0	ꝑyoi0,ꝑuai2
妃	ꝑ	uj	2	ꝑyoi0,ꝑuai2
妄	m	og	1	myag2
妅	h	ug	0	
妉	t	am	0	tom0
妊	nj	rm	2	njim2
妊	nj	rm	0	njim2
妋	pv	u	0	pyo0,qiu0
妌	ḑ	ig	2	ḑieg1
妍	g	in	0	gen0
妎	h	oj	2	xe2,xad0
妏	m	rn	2	
妐	tj	ug	0	ţjyug0
妑	ꝑ	a	0	ꝑra0
妒	t	ov	2	to2
妓	c	i	2	kie0,ţie1
妔	x	ag	0	
妕	ţ	ug	2	
妖	q	iv	0	qieu0
妖	q	iv	1	qieu0
妗	c	rm	1	ṯjem0,xem0,xrem0
妗	ꝁ	rm	1	ṯjem0,xem0,xrem0
妘	hv	rn	0	yon0
妙	m	iv	2	mjeu2
妚	pv	rv	1	
妛	ŧj	i	0	ṯji0
妜	q	yn	3	quet,qjyet
妝	tj	og	0	ţriag0
妞	qn	rv	1	
妟	q	an	2	
妠	n	am	3	nom2,nruat,nop
妡	qj	rn	0	
妢	bhv	rn	0	byon0
妣	p	i	1	pjii1
妤		y	0	jo0
妥	d	o	1	ŧua1
妦	ꝑv	ug	0	ꝑyug0
妧	gv	un	2	guan2
妨	bhv	og	0	ꝑyag0,ꝑyag2
妬	t	ov	2	to2
妭	b	rn	3	buat
妮	n	ej	0	
妯	dj	ug	3	ŧriu0,driuk
妯	ŧj	rv	0	ŧriu0,driuk
妰	ţ	wg	3	
妱	ţ	iv	0	
妲	t	an	3	tat
妲	ŧ	an	1	tat
妳	n	ej	1	
妳	n	aj	1	
妳	n	aj	0	
妴	q	yn	1	
妵	ŧ	rv	1	ŧu1
妶		in	0	
妷	dj	rn	3	drit
妸	q	o	1	qa0,qa1
妸	q	o	0	qa0,qa1
妹	m	uj	2	muai2
妹	m	uj	0	muai2
妺	m	un	3	muat
妻	ṯ	rj	0	ṯe0,ṯe2
妻	ṯ	rj	2	ṯe0,ṯe2
妼	b	rn	3	bjit
妽	s	rn	0	
妾	ṯ	im	3	ṯiep
妿	x	a	2	ka0,qa0
姀	v	o	0	
姁	x	wj	1	xyo0,ţyo0,xyo1,xyo2
姁	x	wj	0	xyo0,ţyo0,xyo1,xyo2
姂	bv	rn	3	ꝑyam2,byap,ꝁyap
姃	ţ	ig	0	
姄	m	rn	0	
姅	p	un	2	puan2,ꝑuan2
姅	ꝑ	un	2	puan2,ꝑuan2
姆	m	ov	1	mu2
姇	ꝑv	u	0	ꝑyo0
姈	l	ig	0	leg0
姉	ţ	i	1	
姉	ţ	e	1	
姊	ţ	i	1	
姊	ţ	e	1	
始	ŧj	i	1	sji1
姌	nj	im	1	njem1,nem1
姍	s	an	0	san0
姎	q	og	0	qag0,qag1
姏	m	an	0	mam0
姐	ţ	e	1	ţia1
姐	ţ	e	0	ţia1
姐	ḑh	e	0	ţia1
姑	k	u	0	ko0
姒	ḑ	i	1	zi1
姓	s	ig	2	sieg2
姓	s	eg	2	sieg2
委	qv	i	1	qye0,qye1
委	qv	i	0	qye0,qye1
姕	ţ	i	0	ţie0,ṯie0
姖	c	y	2	
姗	s	an	0	
姘	ꝑ	ig	0	ꝑreg0,ꝑeg0
姙	j	rm	2	
姙	j	rm	0	
姚		iv	0	jeu0
姛	d	ug	2	dug1
姜	k	wg	0	kiag0
姝	sj	y	0	ṯjyo0
姝	tj	y	0	ṯjyo0
姞	k	rn	3	ţit
姟	k	oj	0	kai0
姠	x	wg	2	
姡	hv	an	3	xuat,xruat
姢	k	yn	0	
姣	k	av	1	xrau0,krau1
姣	h	av	0	xrau0,krau1
姤	k	rv	2	ku2
姥	m	ov	1	mo1
姥	l	ov	1	mo1
姦	k	an	0	kran0
姧	k	an	0	
姨		i	0	jii0
姩	n	in	2	
姪	dj	rn	3	drit,det
姫	ṯ	rn	1	
姬	k	i	0	ji0,ki0
姭	x	im	2	xiam2
姮	h	rg	0	
姯	kv	og	0	
姰	kv	rn	0	syn0,xuen2
姱	ꝁv	a	0	ꝁrua0
姲	q	an	2	
姳	m	ig	1	meg1
姴	l	in	3	liet
姵	b	uj	2	
姶	q	om	3	qop
姷	hj	rv	2	iu2
姸	g	in	0	gen0
姹	ṯ	a	2	
姺	s	rn	0	srin0,sen1
姺	s	in	1	srin0,sen1
姻	qj	rn	0	qjin0
姼	ŧj	i	1	ḑje0,ḑje1,ṯje1
姼	zj	i	0	ḑje0,ḑje1,ṯje1
姽	kv	i	1	kye1,gye1
姾	ḑ	yn	0	
姿	ţ	i	0	ţii0
娀	s	ug	0	siug0
威	qv	i	0	qyoi0
娂	h	ug	0	
娃	qv	a	0	qre0
娉	ꝑ	ig	0	ꝑjeg2
娊		in	2	
娋	sj	av	2	srau0,srau2
娌	l	i	1	li1
娍	z	ig	0	
娎	x	in	3	xeu2,xiet
娏	m	og	0	mrug0
娐	pv	u	0	
娑	s	o	0	sa0,sa1
娒	m	ov	1	
娒	m	uj	0	
娓	m	i	1	myoi1,mii2
娔	x	rg	3	
娕	ŧj	ug	3	ṯruk
娖	ŧj	og	3	ṯruk
娖	ŧj	wg	3	ṯruk
娖	ŧj	ug	3	ṯruk
娗	d	ig	1	deg0,deg1
娘	n	wg	0	nriag0
娙	g	ig	0	greg0,xeg0
娚	n	am	0	
娛	g	y	0	gyo0,go2
娜	n	o	1	na1
娜	n	o	0	na1
娜	n	a	0	na1
娝	ꝑ	rv	0	pii1
娞	n	uj	1	nuai1
娟	k	yn	0	qjyen0
娠	sj	rn	0	sjin0,ţjin2
娠	tj	rn	2	sjin0,ţjin2
娡	tj	i	2	ţji2
娢	h	rm	0	
娣	d	rj	1	de1,de2
娣	d	rj	2	de1,de2
娤	ţ	og	0	
娥	g	o	0	ga0
娦	b	rn	0	
娧	ŧ	uj	2	ŧuad0,jyet
娨	h	an	2	xran2
娩	m	in	1	myan1,mien1,myon2,myan2
娩	m	an	1	myan1,mien1,myon2,myan2
娪	g		0	go0
娫		in	0	
娬	m	ov	1	myo1
娬	m	ov	0	myo1
娭	x	i	0	xi0
娭	x	oj	0	xi0
娭	x	aj	0	xi0
娮		in	0	
娯		y	0	
娰	ḑ	i	1	
娱		y	0	
娳	l	ej	2	
娵	ţ	y	0	ţyo0
娵	ţ	wj	0	ţyo0
娶	ṯ	wj	1	syo0,ṯyo2
娶	ṯ	ov	1	syo0,ṯyo2
娶	ṯ	wj	2	syo0,ṯyo2
娷	tj	uj	2	trye2
娸	ꝁ	i	0	ꝁi0
娹		in	0	
娺	ŧ	o	2	tryi0,truet
娻	t	ug	0	
娼	ṯ	wg	0	
娽	l	ug	3	luk,lyuk
娾	g	aj	2	grai0,grai1
娿	q	o	1	qa0,qa1
娿	q	o	0	qa0,qa1
婀	q	o	1	
婀	q	o	0	
婁	l	rv	0	lyo0,lu0
婂	m	in	0	
婃	ḑ	ug	0	
婄	ꝑ	rv	2	buai0,bu1,ꝑu1
婅	k	ug	3	
婆	b	o	0	bua0
婆	ꝑ	o	0	bua0
婆	ꝑ	o	1	bua0
婇	ṯ	oj	1	
婈	l	ig	0	
婉	q	yn	1	qyan1
婊	p	iv	1	
婋	x	av	0	
婌	zj	ug	3	ḑjuk
婍	ꝁ	i	1	ꝁie1
婎	xv	i	0	xjyi0,xjyi2
婏	ꝑv	an	2	ꝑyo2,ꝑyan2
婐	x	o	1	krua0,qua1
婐	x	o	0	krua0,qua1
婐	xv	o	1	krua0,qua1
婑	qv	o	1	
婒	d	am	0	
婓	ꝑv	i	0	ꝑyoi0
婓	bhv	i	0	ꝑyoi0
婔	pv	i	0	yoi0
婕	ţ	in	3	ţiep
婖	ŧ	im	0	
婗	g	rj	0	ge0
婘	c	yn	0	ţyen0
婘	k	yn	2	ţyen0
婙	ḑ	ig	2	
婚	xv	rn	0	xuon0
婛	k	ig	0	
婜	x	an	0	
婝	d	in	2	
婞	h	rg	2	xeg1
婟	hv	u	2	xo1,xo2
婠	xv	un	0	quan0,kuan2,qruet
婠	xv	an	3	quan0,kuan2,qruet
婡	l	oj	0	
婢	b	i	1	bje1
婣	qj	rn	0	qjin0
婤	tj	rv	0	ŧriu0,ţju0
婥	ŧj	wg	3	ṯjak
婦	bhv	u	1	biu1
婧	ḑ	ig	2	ţieg0,ḑieg1,ḑieg2
婨	l	on	0	
婩	g	on	2	
婪	l	am	0	lom0
婫	kv	rn	0	
婬	j	rm	0	jim0
婭	q	a	2	qra2
婮	k	y	0	
婯	l	rj	2	
婰	t	in	1	
婱	h	in	0	xen0
婲	v	a	2	
婷	d	ig	0	
婷	ŧ	ig	1	
婸	d	og	2	dag1
婹	q	iv	1	qeu1
婺	m	ov	2	myo2
婻	n	am	2	
婼	nj	wg	3	nje0,nja0,ŧriak
婼	ŧj	wg	3	nje0,nja0,ŧriak
婽	k	a	1	kra1
婽	ŧ	rv	0	kra1
婽		y	0	kra1
婿	s	rj	2	
婿	s	rj	1	
媀	g	y	2	gyo2
媁	hv	i	0	qyoi0,yoi1
媂	t	rj	2	
媃	j	rv	0	
媄	m	i	1	mii1
媅	t	am	0	tom0
媆		yn	1	nuon2
媇	ṯ	rn	0	
媈	pv	i	0	
媉	q	rg	3	qruk
媊	ţ	in	1	ţie0,ţien1
媋	ṯ	on	0	
媌	m	av	0	mrau0,mrau1
媍	bhv	u	1	
媎	ţ	e	1	
媏	t	yn	0	
媐	x	i	0	ji0,xi0
媑	ḑ	ug	2	
媒	m	uj	0	muai0
媓	hv	og	0	xuag0
媔	m	in	0	
媕	q	om	0	qom0,qiem1,qop
媖	q	ig	0	qieg0
媗	x	yn	0	
媘	k	aj	0	
媙	qv	i	0	
媚	m	i	2	mii2
媚	m	i	0	mii2
媛	h	yn	2	yan0,yen2
媛	h	yn	0	yan0,yen2
媛	hv	un	0	yan0,yen2
媜	ţ	ig	0	
媝	ṯ	rv	0	
媞	d	rj	0	de0,ḑje1,de1
媞	d	rj	1	de0,ḑje1,de1
媟	s	in	3	siet
媠	d	o	1	ŧua1,dua2
媠	d	o	2	ŧua1,dua2
媡	l	in	2	
媢	m	ov	2	mau1,mjii2,mau2,muuk
媣	k	om	0	kam0
媤	s	i	0	
媥	ꝑ	in	0	ꝑjen0
媦	hv	i	2	yoi2
媧	xv	o	0	krue0,krua0
媨	ṯ	ug	3	ţiu2
媩		u	0	
媪	q	ov	1	qau1
媫	ţ	in	3	
媬	p	ov	1	
媮	ŧ	rv	0	jyo0,ŧu0
媮		y	0	jyo0,ŧu0
媯	kv	i	0	
媰	dj	o	0	ḑryo0
媱		iv	0	jeu0
媲	ꝑ	ej	2	ꝑe2
媲	p	ej	1	ꝑe2
媳	s	ig	3	
媴		yn	0	
媵		ig	2	jig2,zjig2
媶	j	ug	0	
媷	nj	ug	3	njyuk
媸	ŧj	i	0	ṯji0
媹	l	rv	0	
媺	m	i	1	mii1
媻	b	un	0	buan0,bua0
媼	q	ov	1	
媽	qm	a	0	mo1
媽	m	a	0	mo1
媽	m	a	1	mo1
媾	k	rv	2	ku2
媾	ꝁ	rv	2	ku2
媿	cv	i	1	kyi2
媿	ꝁv	i	2	kyi2
媿	kv	i	1	kyi2
嫀	ḑ	on	0	
嫁	k	a	2	kra2
嫂	s	ov	1	sau1
嫃	ţ	rn	0	
嫄	g	yn	0	gyan0
嫅	ţ	e	0	
嫆	j	ug	0	
嫇	m	ig	0	mreg0,meg0,meg1
嫈	q	ig	0	qreg0,qyeg0,qreg2
嫉	ḑ	rn	3	ḑii2,ḑit
嫊	s	ov	2	
嫋	n	iv	1	neu1
嫌	h	im	0	xem0
嫍	ŧ	ov	0	
嫎	b	og	0	
嫏	l	og	0	
嫐	n	ov	1	
嫑	p	iv	2	
嫓	ꝑ	ej	2	
嫕	q	rj	2	
嫕	q	i	2	
嫖	b	iv	0	ꝑjeu0,ꝑjeu2
嫖	ꝑ	iv	0	ꝑjeu0,ꝑjeu2
嫖	ꝑ	iv	2	ꝑjeu0,ꝑjeu2
嫗	q	y	2	qyo2
嫗	q	y	1	qyo2
嫘	l	wj	0	
嫙	z	yn	0	zyen0,zyen2
嫚	m	an	2	mran2
嫛	q	i	0	qe0
嫜	ţ	wg	0	
嫝	x	og	0	
嫞	z	ug	0	
嫟	qn	ig	3	
嫠	l	i	0	li0
嫡	t	ig	3	trak,tek
嫢	ꝁv	i	0	ţie0,ţjyi1,xen1
嫣	x	in	0	xjen0,qien0,qien1,qian2
嫤	k	rn	1	
嫥	tj	yn	0	ţjyen0
嫦	z	wg	0	
嫧	ţ	ag	3	ţrek,ṯrek,ṯiek
嫨	x	on	0	
嫩	n	yn	2	nuon2
嫪	l	ov	2	lau0,lau2
嫫	m	ov	0	mo0
嫬	ţ	e	0	
嫭	hv	u	2	xo2
嫮		u	2	
嫯	g	ov	2	gau0,gau2
嫰	n	yn	2	
嫲	m	a	0	
嫳	ꝑ	in	3	ꝑet
嫴	k	u	0	ko0
嫵	m	ov	1	myo1
嫵	m	ov	0	myo1
嫶	ḑ	iv	0	
嫶	ţ	iv	0	
嫷	d	o	1	dua1,ŧua2
嫸	tj	in	1	ţjen1
嫹	m	av	0	
嫺	h	an	0	xren0
嫻	h	an	0	
嫼	q	an	3	qret
嫽	l	iv	0	leu0,lieu1,leu2
嫾	l	in	0	
嫿	hv	ag	3	xruek
嬀	kv	i	0	kye0
嬁	t	rg	0	
嬂	ţ	ig	3	
嬃	s	wj	0	syo0
嬄	qj	rn	3	
嬅	v	a	2	
嬆	xj	rm	3	xip
嬇	hv	uj	2	ꝁruai2,xuai2
嬈	qnj	iv	1	neu1,njeu1,xeu2
嬈	nj	iv	0	neu1,njeu1,xeu2
嬉	x	i	0	xi0,xi2
嬊	q	in	1	
嬋	zj	im	0	ḑjen0
嬌	k	iv	0	kieu0,ţieu0,kieu1
嬍	m	ej	1	
嬎	pv	an	2	
嬏	pv	an	0	
嬐	ŧj	im	0	giem1
嬑	q	i	2	
嬒	qv	i	2	quad0,quat
嬓	k	iv	2	
嬔	ꝑv	an	2	ꝑyan2
嬕	s	ig	3	
嬖	ꝑ	ej	2	pe2
嬗	zj	in	2	ŧan0,tan1,ḑjen2
嬘	z	wj	2	
嬙	ḑ	wg	0	ḑiag0,srik
嬚	l	im	1	liem1
嬛	v	an	0	xjyen0,qjyen0,ţjyeg0
嬛	c	ig	0	xjyen0,qjyen0,ţjyeg0
嬛	x	yn	0	xjyen0,qjyen0,ţjyeg0
嬜	xj	om	0	xim0,qom0,xam0
嬝	n	iv	1	
嬞	t	ug	1	
嬟		i	2	
嬠	ṯ	am	1	
嬡	q	oj	2	
嬡	q	oj	1	
嬣	n	ig	0	nreg0
嬤	qm	a	0	
嬤	m	a	0	
嬥	d	iv	1	deu0,deu1,deu2,druk
嬥	d	iv	0	deu0,deu1,deu2,druk
嬦	ḑ	rv	0	
嬧	ḑ	on	2	
嬨	ḑ	i	0	
嬩		y	0	jo0
嬪	b	rn	0	bjin0
嬪	p	rn	2	bjin0
嬫	v	ig	0	
嬬	nj	y	0	njyo0
嬭	n	aj	1	ne1,nre1
嬭	n	aj	0	ne1,nre1
嬮	q	im	0	qjem0,qjem2,qjep
嬮	q	im	2	qjem0,qjem2,qjep
嬯	d	oj	0	dai0
