character	initial	final	tone	mc
㓬	pv	u	0	
㓭	x	on	3	
㓮	t	iv	0	
㓯	l	ej	0	
㓰	v	ag	3	
㓱	d	rv	0	du0
㓲	ꝑ	in	0	
㓳	t	rj	0	te0
㓴		yn	1	
㓵	g	og	3	
㓶	ꝁ	in	3	
㓷	g	i	2	gied0
㓸	ţ	wg	3	
㓹	j	uj	2	ṯyed0
㓺	c	in	0	kian0
㓻	k	og	0	kag0
㓼	ŧj	rn	3	ṯri1,ṯrit
㓽	zj	ug	0	ḑriug0,ḑriug2
㓾	s	rj	0	
㓿	s	y	1	
㔀	c	ig	0	
㔁	t	rg	0	
㔂	l	on	0	lin2
㔃	ḑ	yn	3	
㔄	s	ug	3	syuk
㔅	s	iv	2	
㔆	ḑ	am	1	ḑom1
㔇	ꝑ	un	3	
㔈	bv	ej	2	
㔊	tj	in	1	ţjen1
㔋	k	am	2	kram0,xram1,lam2,kram2
㔌	ḑ	rv	2	ḑu0,ḑu2
㔍	ŧj	an	3	ṯruat,ṯriet
㔎	s	in	3	git,siet
㔏	l	ig	3	lek
㔐	ṯ	im	0	
㔑	ṯ	rn	3	
㔒	cv	i	0	xue0
㔓	k	in	1	kian1
㔔	k	a	0	
㔕	c	rn	3	
㔖	k	a	0	
㔗	bv	i	2	byoi2
㔘	ṯ	on	3	
㔙	ꝑ	ag	0	prag0
㔚	x	rv	1	
㔛	ꝁ	in	3	
㔜	b	un	3	
㔝	l	wg	1	liag1
㔞	kv	aj	0	ꝁruai0
㔟	s	rj	2	
㔠	h	rn	3	xrat
㔡	p	in	3	pet
㔢	t	yn	3	ţyet
㔣	l	uj	2	luai0,luai2
㔤	s	rn	2	
㔥	b	a	2	bre1
㔦	j	og	1	
㔧	l	wj	2	
㔨	p	uj	2	
㔩	q	om	3	qop
㔩	h	om	3	qop
㔪	l	ov	1	lo1
㔫	l	ug	0	
㔬	ṯ	wg	3	
㔭	ḑ	i	0	
㔮	n	o	0	na0
㔯	z	yn	0	zyen0
㔰	h	rg	0	
㔱		y	0	
㔲	kv	i	1	kyi1
㔳	kv	i	1	
㔴		ig	3	jik
㔵	s	yn	1	
㔶	k	ug	2	kom1,kug2
㔷	l	rv	2	
㔸	ŧ	rj	0	ŧe0
㔹	l	rg	3	lok
㔺	s	rj	2	
㔻	ꝑ	i	0	ꝑii0
㔼	s	on	1	
㔽	j	rv	1	
㔾	ṯ	im	0	
㔿	ţ	rv	2	
㕀	qv	i	2	
㕁	ꝁ	wg	3	
㕂	j	rm	0	
㕃	ꝁ	rj	0	
㕄	ţ	i	1	
㕅	k	am	3	
㕆	hv	u	2	to1,xo1
㕇	l	am	3	lop
㕈	q	i	1	qai1,quai2
㕉	h	rm	3	
㕊	p	ov	0	ꝑyo0
㕋	c	rm	0	ţim0
㕌	g	oj	2	
㕍	t	wj	0	
㕎	h	om	3	ꝁap
㕏	ḑ	y	0	
㕐	s	e	1	
㕑	ḑ	y	0	
㕑	ḑ	wj	0	
㕒	g	rj	0	gye0
㕓	ḑ	in	0	
㕔	ŧ	eg	0	
